x	y	f(x,y)
-10.00000 -10.00000 -7991.83866
-9.31034 -10.00000 -7085.29319
-8.62069 -10.00000 -6169.52467
-7.93103 -10.00000 -5388.57671
-7.24138 -10.00000 -4760.51395
-6.55172 -10.00000 -4154.78032
-5.86207 -10.00000 -3455.83464
-5.17241 -10.00000 -2707.96694
-4.48276 -10.00000 -2059.78649
-3.79310 -10.00000 -1577.95878
-3.10345 -10.00000 -1163.64872
-2.41379 -10.00000 -676.39799
-1.72414 -10.00000 -110.17185
-1.03448 -10.00000 399.07704
-0.34483 -10.00000 743.80822
0.34483 -10.00000 979.68180
1.03448 -10.00000 1255.79557
1.72414 -10.00000 1627.80965
2.41379 -10.00000 1988.18356
3.10345 -10.00000 2200.96466
3.79310 -10.00000 2272.18768
4.48276 -10.00000 2342.31094
5.17241 -10.00000 2510.16954
5.86207 -10.00000 2709.09798
6.55172 -10.00000 2790.48698
7.24138 -10.00000 2710.04653
7.93103 -10.00000 2583.31781
8.62069 -10.00000 2540.85688
9.31034 -10.00000 2564.59909
10.00000 -10.00000 2510.50086
-10.00000 -8.57143 -7194.01372
-9.31034 -8.57143 -6333.35417
-8.62069 -8.57143 -5463.47158
-7.93103 -8.57143 -4728.40954
-7.24138 -8.57143 -4146.23271
-6.55172 -8.57143 -3586.38501
-5.86207 -8.57143 -2933.32525
-5.17241 -8.57143 -2231.34348
-4.48276 -8.57143 -1629.04895
-3.79310 -8.57143 -1193.10717
-3.10345 -8.57143 -824.68303
-2.41379 -8.57143 -383.31823
-1.72414 -8.57143 137.02198
-1.03448 -8.57143 600.38495
-0.34483 -8.57143 899.23020
0.34483 -8.57143 1089.21786
1.03448 -8.57143 1319.44570
1.72414 -8.57143 1645.57385
2.41379 -8.57143 1960.06184
3.10345 -8.57143 2126.95701
3.79310 -8.57143 2152.29411
4.48276 -8.57143 2176.53144
5.17241 -8.57143 2298.50411
5.86207 -8.57143 2451.54663
6.55172 -8.57143 2487.04971
7.24138 -8.57143 2360.72333
7.93103 -8.57143 2188.10868
8.62069 -8.57143 2099.76182
9.31034 -8.57143 2077.61811
10.00000 -8.57143 1977.63395
-10.00000 -7.14286 -6617.55478
-9.31034 -7.14286 -5802.78116
-8.62069 -7.14286 -4978.78449
-7.93103 -7.14286 -4289.60838
-7.24138 -7.14286 -3753.31747
-6.55172 -7.14286 -3239.35570
-5.86207 -7.14286 -2632.18187
-5.17241 -7.14286 -1976.08602
-4.48276 -7.14286 -1419.67742
-3.79310 -7.14286 -1029.62156
-3.10345 -7.14286 -707.08336
-2.41379 -7.14286 -311.60448
-1.72414 -7.14286 162.84981
-1.03448 -7.14286 580.32685
-0.34483 -7.14286 833.28618
0.34483 -7.14286 977.38791
1.03448 -7.14286 1161.72982
1.72414 -7.14286 1441.97205
2.41379 -7.14286 1710.57411
3.10345 -7.14286 1831.58336
3.79310 -7.14286 1811.03453
4.48276 -7.14286 1789.38594
5.17241 -7.14286 1865.47268
5.86207 -7.14286 1972.62927
6.55172 -7.14286 1962.24643
7.24138 -7.14286 1790.03412
7.93103 -7.14286 1571.53355
8.62069 -7.14286 1437.30076
9.31034 -7.14286 1369.27113
10.00000 -7.14286 1223.40104
-10.00000 -5.71429 -6538.48253
-9.31034 -5.71429 -5769.59484
-8.62069 -5.71429 -4991.48410
-7.93103 -5.71429 -4348.19391
-7.24138 -5.71429 -3857.78893
-6.55172 -5.71429 -3389.71308
-5.86207 -5.71429 -2828.42518
-5.17241 -5.71429 -2218.21525
-4.48276 -5.71429 -1707.69258
-3.79310 -5.71429 -1363.52265
-3.10345 -5.71429 -1086.87036
-2.41379 -5.71429 -737.27741
-1.72414 -5.71429 -308.70905
-1.03448 -5.71429 62.88207
-0.34483 -5.71429 269.95547
0.34483 -5.71429 368.17127
1.03448 -5.71429 506.62726
1.72414 -5.71429 740.98356
2.41379 -5.71429 963.69970
3.10345 -5.71429 1038.82302
3.79310 -5.71429 972.38826
4.48276 -5.71429 904.85375
5.17241 -5.71429 935.05457
5.86207 -5.71429 996.32523
6.55172 -5.71429 940.05646
7.24138 -5.71429 721.95823
7.93103 -5.71429 457.57173
8.62069 -5.71429 277.45302
9.31034 -5.71429 163.53746
10.00000 -5.71429 -28.21856
-10.00000 -4.28571 -6493.00316
-9.31034 -4.28571 -5770.00140
-8.62069 -4.28571 -5037.77658
-7.93103 -4.28571 -4440.37232
-7.24138 -4.28571 -3995.85326
-6.55172 -4.28571 -3573.66334
-5.86207 -4.28571 -3058.26136
-5.17241 -4.28571 -2493.93736
-4.48276 -4.28571 -2029.30062
-3.79310 -4.28571 -1731.01661
-3.10345 -4.28571 -1500.25025
-2.41379 -4.28571 -1196.54323
-1.72414 -4.28571 -813.86079
-1.03448 -4.28571 -488.15560
-0.34483 -4.28571 -326.96813
0.34483 -4.28571 -274.63825
1.03448 -4.28571 -182.06818
1.72414 -4.28571 6.40220
2.41379 -4.28571 183.23240
3.10345 -4.28571 212.46980
3.79310 -4.28571 100.14912
4.48276 -4.28571 -13.27132
5.17241 -4.28571 -28.95643
5.86207 -4.28571 -13.57170
6.55172 -4.28571 -115.72639
7.24138 -4.28571 -379.71055
7.93103 -4.28571 -689.98297
8.62069 -4.28571 -915.98761
9.31034 -4.28571 -1075.78909
10.00000 -4.28571 -1313.43103
-10.00000 -2.85714 -5887.61514
-9.31034 -2.85714 -5210.49930
-8.62069 -2.85714 -4524.16041
-7.93103 -2.85714 -3972.64208
-7.24138 -2.85714 -3574.00894
-6.55172 -2.85714 -3197.70495
-5.86207 -2.85714 -2728.18890
-5.17241 -2.85714 -2209.75082
-4.48276 -2.85714 -1791.00000
-3.79310 -2.85714 -1538.60192
-3.10345 -2.85714 -1353.72149
-2.41379 -2.85714 -1095.90039
-1.72414 -2.85714 -759.10388
-1.03448 -2.85714 -479.28461
-0.34483 -2.85714 -363.98307
0.34483 -2.85714 -357.53911
1.03448 -2.85714 -310.85498
1.72414 -2.85714 -168.27052
2.41379 -2.85714 -37.32624
3.10345 -2.85714 -53.97477
3.79310 -2.85714 -212.18138
4.48276 -2.85714 -371.48775
5.17241 -2.85714 -433.05878
5.86207 -2.85714 -463.55997
6.55172 -2.85714 -611.60059
7.24138 -2.85714 -921.47067
7.93103 -2.85714 -1277.62902
8.62069 -2.85714 -1549.51958
9.31034 -2.85714 -1755.20699
10.00000 -2.85714 -2038.73486
-10.00000 -1.42857 -4779.84259
-9.31034 -1.42857 -4148.61267
-8.62069 -1.42857 -3508.15970
-7.93103 -1.42857 -3002.52729
-7.24138 -1.42857 -2649.78009
-6.55172 -1.42857 -2319.36202
-5.86207 -1.42857 -1895.73189
-5.17241 -1.42857 -1423.17975
-4.48276 -1.42857 -1050.31485
-3.79310 -1.42857 -843.80269
-3.10345 -1.42857 -704.80819
-2.41379 -1.42857 -492.87301
-1.72414 -1.42857 -201.96243
-1.03448 -1.42857 31.97091
-0.34483 -1.42857 101.38653
0.34483 -1.42857 61.94456
1.03448 -1.42857 62.74277
1.72414 -1.42857 159.44130
2.41379 -1.42857 244.49965
3.10345 -1.42857 181.96520
3.79310 -1.42857 -22.12734
4.48276 -1.42857 -227.31963
5.17241 -1.42857 -334.77659
5.86207 -1.42857 -411.16370
6.55172 -1.42857 -605.09025
7.24138 -1.42857 -960.84625
7.93103 -1.42857 -1362.89053
8.62069 -1.42857 -1680.66702
9.31034 -1.42857 -1932.24036
10.00000 -1.42857 -2261.65415
-10.00000 0.00000 -3802.56401
-9.31034 0.00000 -3217.22002
-8.62069 0.00000 -2622.65298
-7.93103 0.00000 -2162.90649
-7.24138 0.00000 -1856.04521
-6.55172 0.00000 -1571.51307
-5.86207 0.00000 -1193.76887
-5.17241 0.00000 -767.10265
-4.48276 0.00000 -440.12368
-3.79310 0.00000 -279.49745
-3.10345 0.00000 -186.38887
-2.41379 0.00000 -20.33962
-1.72414 0.00000 224.68504
-1.03448 0.00000 412.73245
-0.34483 0.00000 436.26215
0.34483 0.00000 350.93425
1.03448 0.00000 305.84654
1.72414 0.00000 356.65914
2.41379 0.00000 395.83157
3.10345 0.00000 287.41119
3.79310 0.00000 37.43273
4.48276 0.00000 -213.64549
5.17241 0.00000 -366.98837
5.86207 0.00000 -489.26142
6.55172 0.00000 -729.07389
7.24138 0.00000 -1130.71582
7.93103 0.00000 -1578.64603
8.62069 0.00000 -1942.30844
9.31034 0.00000 -2239.76770
10.00000 0.00000 -2615.06742
-10.00000 1.42857 -3331.47973
-9.31034 1.42857 -2792.02167
-8.62069 1.42857 -2243.34055
-7.93103 1.42857 -1829.48000
-7.24138 1.42857 -1568.50464
-6.55172 1.42857 -1329.85842
-5.86207 1.42857 -998.00015
-5.17241 1.42857 -617.21985
-4.48276 1.42857 -336.12681
-3.79310 1.42857 -221.38650
-3.10345 1.42857 -174.16385
-2.41379 1.42857 -54.00053
-1.72414 1.42857 145.13820
-1.03448 1.42857 287.29969
-0.34483 1.42857 264.94346
0.34483 1.42857 133.72964
1.03448 1.42857 42.75600
1.72414 1.42857 47.68268
2.41379 1.42857 40.96918
3.10345 1.42857 -113.33713
3.79310 1.42857 -409.20151
4.48276 1.42857 -706.16566
5.17241 1.42857 -905.39447
5.86207 1.42857 -1073.55343
6.55172 1.42857 -1359.25183
7.24138 1.42857 -1806.77969
7.93103 1.42857 -2300.59582
8.62069 1.42857 -2710.14416
9.31034 1.42857 -3053.48935
10.00000 1.42857 -3474.67499
-10.00000 2.85714 -2990.88944
-9.31034 2.85714 -2497.31730
-8.62069 2.85714 -1994.52211
-7.93103 2.85714 -1626.54748
-7.24138 2.85714 -1411.45805
-6.55172 2.85714 -1218.69776
-5.86207 2.85714 -932.72541
-5.17241 2.85714 -597.83104
-4.48276 2.85714 -362.62392
-3.79310 2.85714 -293.76954
-3.10345 2.85714 -292.43281
-2.41379 2.85714 -218.15542
-1.72414 2.85714 -64.90261
-1.03448 2.85714 31.37295
-0.34483 2.85714 -36.86920
0.34483 2.85714 -213.96895
1.03448 2.85714 -350.82852
1.72414 2.85714 -391.78777
2.41379 2.85714 -444.38719
3.10345 2.85714 -644.57942
3.79310 2.85714 -986.32973
4.48276 2.85714 -1329.17980
5.17241 2.85714 -1574.29454
5.86207 2.85714 -1788.33943
6.55172 2.85714 -2119.92375
7.24138 2.85714 -2613.33754
7.93103 2.85714 -3153.03960
8.62069 2.85714 -3608.47386
9.31034 2.85714 -3997.70497
10.00000 2.85714 -4464.77654
-10.00000 4.28571 -2147.91461
-9.31034 4.28571 -1700.22839
-8.62069 4.28571 -1243.31913
-7.93103 4.28571 -921.23042
-7.24138 4.28571 -752.02692
-6.55172 4.28571 -605.15255
-5.86207 4.28571 -365.06613
-5.17241 4.28571 -76.05769
-4.48276 4.28571 113.26351
-3.79310 4.28571 136.23196
-3.10345 4.28571 91.68276
-2.41379 4.28571 120.07423
-1.72414 4.28571 227.44111
-1.03448 4.28571 277.83075
-0.34483 4.28571 163.70267
0.34483 4.28571 -59.28301
1.03448 4.28571 -242.02850
1.72414 4.28571 -328.87367
2.41379 4.28571 -427.35902
3.10345 4.28571 -673.43718
3.79310 4.28571 -1061.07342
4.48276 4.28571 -1449.80941
5.17241 4.28571 -1740.81007
5.86207 4.28571 -2000.74089
6.55172 4.28571 -2378.21114
7.24138 4.28571 -2917.51085
7.93103 4.28571 -3503.09883
8.62069 4.28571 -4004.41902
9.31034 4.28571 -4439.53606
10.00000 4.28571 -4952.49356
-10.00000 5.71429 -745.03112
-9.31034 5.71429 -343.23083
-8.62069 5.71429 67.79250
-7.93103 5.71429 343.99528
-7.24138 5.71429 467.31286
-6.55172 5.71429 568.30130
-5.86207 5.71429 762.50180
-5.17241 5.71429 1005.62432
-4.48276 5.71429 1149.05958
-3.79310 5.71429 1126.14211
-3.10345 5.71429 1035.70699
-2.41379 5.71429 1018.21253
-1.72414 5.71429 1079.69349
-1.03448 5.71429 1084.19720
-0.34483 5.71429 924.18319
0.34483 5.71429 655.31159
1.03448 5.71429 426.68017
1.72414 5.71429 293.94907
2.41379 5.71429 149.57780
3.10345 5.71429 -142.38628
3.79310 5.71429 -575.90845
4.48276 5.71429 -1010.53037
5.17241 5.71429 -1347.41695
5.86207 5.71429 -1653.23370
6.55172 5.71429 -2076.58987
7.24138 5.71429 -2661.77551
7.93103 5.71429 -3293.24942
8.62069 5.71429 -3840.45553
9.31034 5.71429 -4321.45850
10.00000 5.71429 -4880.30192
-10.00000 7.14286 624.25948
-9.31034 7.14286 980.17384
-8.62069 7.14286 1345.31125
-7.93103 7.14286 1575.62811
-7.24138 7.14286 1653.05976
